song_name,name,song_id,popularity
Poison Tree,Grouper,6Q5uDNuuFYa8ToL3CCoHPC,78
Peterson,The American Dollar,7gfMja30N1mYv2P0RWRXyE,29
Anything You Synthesize - Ambient,The American Dollar,0OF6WSdeVmYEGBZlxvwvLq,48
Whipping Post,Allman Brothers Band,701oRFDRzsz3WdhCFOtUJj,57
Fuck You Aurora,Alkaline Trio,5a9yyZE83UskiAlIsQR7Lz,35
If I Ain't Got You,Alicia Keys,3XVBdLihbNbxUwZosxcGuJ,85
Fallin',Alicia Keys,0KQx6HOpJueiSkztcS0r7D,79
Alone in Kyoto,Air,40UlFC0dIxv7lAEJaPZLnm,59
She's A Rainbow,The Rolling Stones,6KOtheMY0KN4s9TrQHr9It,64
Not a Daughter,Agoraphobic Nosebleed,2KYQTOhhOjLiHtiJkgkqWh,32
Er det måneskinn,Dold Vorde Ens Navn,5LLGhrfSAbXplpvb2fsuZY,12
Don't Mess With Me,Brody Dalle,0UCYmgsllnNNl7werHn6Sb,44
Meet The Foetus / Oh The Joy,Brody Dalle,39SzrKUgrdR9SFzZlPvBka,32
Løgnens abstinenser,Dold Vorde Ens Navn,3QVsy0z9c6rJ2XRV4BJTIb,19
"Maanen skal være mine øine, den skinnende stierne mine ben, og her skal jeg vandre til evig tid",Djevel,2EfPhOYy8a0YiY2a3oyRT6,19
"Non, je ne regrette rien",Édith Piaf,3dkIE8P7hvl3tHl9KSb6dA,71
Motordeath,The Crown,5dRbR84S6MkNDrSQ3LwFGx,20
The Harvesters,Celestial Swarm,4oo2CClacckzSEBbY3r4fK,0
Saturday Night,Misfits,3jXptpf8Z3aU9O1Bj6YCl0,61
The Scythe's Remorseless Swing,Carcass,1lDusYqix25i6mR2eY6ltG,28
The Drowning Tide,Aduanten,5uRdLJ0GxkZHEW2cn5AwdR,0
Sullen Cadence,Aduanten,2Bd2dpMYofFPQTP889ULXf,0
Violet High,Cyclefly,4xlDCE1xHbHT0StAwMvMct,10
Crawl Down,Cyclefly,5j6TwT17jMimz5KTtZiADL,8
Flyblown Prince,Code,6DqVszMnY50YeMUcoDcVUn,4
Exit Bag,Take Over And Destroy,78lM37CDutKbE1WIppmgNU,1
Exit Bag,Tim Callaway,78lM37CDutKbE1WIppmgNU,1
Principal Photography,Take Over And Destroy,2j8qOfMLAkYzBAl3sm3Mht,1
Every Day Is Exactly The Same,Nine Inch Nails,11sSvwrDX5BBUhbBZRKUxy,55
Atrapos,Spectral Lore,0tF4pPZTJvcODNBG59W804,9
The Hardship of the Scots,Darkthrone,3NZoSUKlmU9I1HJfrCR6jW,31
Wake of the Awakened,Darkthrone,0jZk8Yar7VSTvEeE5JnEnN,24
Cradle,Violet Cold,1kHGXGTNMJCk2wcsaUlbGn,0
Scarred Grandeur,Thulcandra,3Bqn8x3dlIsac77knE5x4K,12
Discarnate,Ethereal Shroud,3Yuru1yCzg8XVLIrJA7Nxk,20
Soft Revolution,Charlotte Wessels,5AxO9VxgdTs3O6NmVG8s4V,25
The Emerald Pearl,So Hideous,2tviFPnzDSbfNsAXhxZ0Qg,14
Shadowy Peripherals,Alkuharmonian Kantaja,63bbw1xdWoOB8VZlCU5DaJ,1
Talkin' in Tongues with Mountain Spirits,Primeval Well,1vgtVxMKqDmUjjptVk867v,8
Fallow,The Silver,27NcaADgw9Ji8iKUn3u9Kd,0
Venomous Rites,Craven Idol,28hLIAFX9UaozYev0dQeuD,12
Into Wooded Hollows,Aquilus,2i5jgqAXnVG791ISVuTahE,14
Viscera of Men,Converge,051OmLqmnfmuMXRsyq7JdX,29
Viscera of Men,Chelsea Wolfe,051OmLqmnfmuMXRsyq7JdX,29
Calla,Skepticism,2MZsVWWY3ORtSkHLEEUdzF,15
Blood Moon,TOWER,7upWfheCmL8jTqz7CWmJtN,20
Beehive,MEER,37EGmBJm03gJ1jhAnF8Mk4,22
Don't Stop Runnin',Y&T,6ZZ2ddUz2ZuQpkFeJm3FlK,40
Do Ya Wanna Taste It,Wig Wam,5XW4BwCrfYpci5zMbJxs4N,61
Go Motherfucker Go,Nashville Pussy,295qDCQXrEBy2vSbCYi3qL,31
Flying,Dehd,4i2s69U5vRLS0KQtNMAWbb,0
Delete Forever,Grimes,71J2rawCGulCAyTMtNY3Ej,55
Fire,Waxahatchee,2QUEBOSGpKpL6bzzbQiwwo,0
Flower Glass,Hand Habits,3Q13H08h7Oz99laDXhGbA2,28
placeholder,Hand Habits,6ABQcgTtAPCUyMkVwdRNJo,0
Lover,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,94
Thought of You,Julie Doiron,2zMJATJiJQzpSQQ95B8eeP,0
ファッショニスタ,CHAI,7wNlkOMCphVRzU6v9F8JRi,0
Stay High,Brittany Howard,3sjew5VKI4UlxZF7r8lpMd,46
Andromeda,Weyes Blood,51EMSRpNm9Rg5rGViVCczv,71
Really Doe,Danny Brown,6dHatCnuOb1TdBIeJTK3Y0,0
Really Doe,Kendrick Lamar,6dHatCnuOb1TdBIeJTK3Y0,0
Really Doe,Ab-Soul,6dHatCnuOb1TdBIeJTK3Y0,0
Really Doe,Earl Sweatshirt,6dHatCnuOb1TdBIeJTK3Y0,0
Grown Up,Danny Brown,2KrkWcSP0oFWBUZzvj9KjS,62
Ashes to Ashes,Jenny Hval,6DnvvG2gOew4ZAv2ROK5lA,0
Holocene,Bon Iver,6DESft0qm6RhoYf5wzeoGH,67
Skinny Love,Bon Iver,1HkOPLwAJH3kE8UnqgxF4s,71
exile (feat. Bon Iver),Taylor Swift,4pvb0WLRcMtbPGmtejJJ6y,83
exile (feat. Bon Iver),Bon Iver,4pvb0WLRcMtbPGmtejJJ6y,83
Rosyln,Bon Iver,1vsFzbhQXTqKJ3YSWxWxmJ,62
Rosyln,St. Vincent,1vsFzbhQXTqKJ3YSWxWxmJ,62
Running,Helado Negro,2O6IG0D422OZTuxZeB3Juh,47
Gretel,Alex G,36zqSzaPzQWZYDCNm1klgY,53
BTSTU - Edit,Jai Paul,0MZz25sxDA1W8HA84duaHS,49
He,Jai Paul,6ysRK6One7O5GiRVvrs0x1,0
Drunk II,Mannequin Pussy,4j1OTpSF5ejqYPKwqHvlzM,50
Like I Used To,Sharon Van Etten,1kZpYFQHUKv4xHELaaUSqP,52
Like I Used To,Angel Olsen,1kZpYFQHUKv4xHELaaUSqP,52
Lark,Angel Olsen,13rEyddPoVpxXWWv2aTjqo,0
